cmd,default value/ args,description
dt_UsePartialChangeEnts,1,(SP only) - enable FL_EDICT_PARTIAL_CHANGE optimization.
dti_flush,,Write out the datatable instrumentation files (you must run with; dti for this to work).
dtwarning,0,Print data table warnings?
dtwatchclass,0,Watch all fields encoded with this table.
dtwatchent,-1,Watch this entities data table encoding.
dtwatchvar,0,Watch the named variable.
+duck,,
-duck,,
dump_ball_cannon_settings,,
dump_entity_sizes,,Print sizeof(entclass)
dump_globals,,Dump all global entities/states
dump_panels,,Dump Panel Tree
dump_x360_cfg,,Dump X360 config files to disk
dump_x360_saves,,Dump X360 save games to disk
dumpentityfactories,,Lists all entity factory names.
dumpeventqueue,,Dump the contents of the Entity I/O event queue to the console.
dumpgamestringtable,,Dump the contents of the game string table to the console.
dumpsavedir,,List the contents of the save directory in memory
dumpstringtables,,Print string tables to console.
echo,,Echo text to console.
editdemo,,Edit a recorded demo file (.dem ).
editor_toggle,,Disables the simulation and returns focus to the editor
endmovie,,Stop recording movie frames.
english,1,"If set to 1, running the english language set of assets."
ent_absbox,,Displays the total bounding box for the given entity(s) in green. Some entites will also display entity specific overlays. Arguments: {entity_name} / {class_name} / no argument picks what player is looking at Arguments: {entity_name} / {class_name} / no argument picks what player is looking at
ent_attachments,,Displays the attachment points on an entity. Arguments: {entity_name} / {class_name} / no argument picks what player is looking at Arguments: {entity_name} / {class_name} / no argument picks what player is looking at
ent_autoaim,,Displays the entity's autoaim radius. Arguments: {entity_name} / {class_name} / no argument picks what player is looking at Arguments: {entity_name} / {class_name} / no argument picks what player is looking at
ent_bbox,,Displays the movement bounding box for the given entity(ies) in orange. Some entites will also display entity specific overlays. Arguments: {entity_name} / {class_name} / no argument picks what player is looking at Arguments: {entity_name} / {class_name} / no argument picks what player is looking at
ent_cancelpendingentfires,,Cancels all ent_fire created outputs that are currently waiting for their delay to expire.
ent_create,,Creates an entity of the given type where the player is looking.
ent_debugkeys,0,
ent_dump,,Usage: ent_dump <entity name> ent_dump <entity name>
ent_fire,,Usage: ent_fire <target> [action] [value] [delay] ent_fire <target> [action] [value] [delay]
ent_info,,Usage: ent_info <class name> ent_info <class name>
ent_keyvalue,,"Applies the comma delimited key=value pairs to the entity with the given Hammer ID. Format: ent_keyvalue <entity id> <key1>=<value1>,<key2>=<value2>,...,<keyN>=<valueN> Format: ent_keyvalue <entity id> <key1>=<value1>,<key2>=<value2>,...,<keyN>=<valueN>"
ent_messages,,Toggles input/output message display for the selected entity(ies). The name of the entity will be displayed as well as any messages that it sends or receives. Arguments: {entity_name} / {class_name} / no argument picks what player is looking at Arguments: {entity_name} / {class_name} / no argument picks what player is looking at
ent_messages_draw,0,[CHEATS REQUIRED] Visualizes all entity input/output activity.
ent_name,,
ent_orient,,"Orient the specified entity to match the player's angles. By default, only orients target entity's YAW. Use the 'allangles' option to orient on all axis. Format: ent_orient <entity name> <optional: allangles> Format: ent_orient <entity name> <optional: allangles>"
ent_pause,,Toggles pausing of input/output message processing for entities. When turned on processing of all message will stop. Any messages displayed with 'ent_messages' will stop fading and be displayed indefinitely. To step through the messages one by one use 'ent_step'.
ent_pivot,,"Displays the pivot for the given entity(ies). (y=up=green, z=forward=blue, x=left=red). Arguments: {entity_name} / {class_name} / no argument picks what player is looking at (y=up=green, z=forward=blue, x=left=red). Arguments: {entity_name} / {class_name} / no argument picks what player is looking at"
ent_rbox,,Displays the total bounding box for the given entity(s) in green. Some entites will also display entity specific overlays. Arguments: {entity_name} / {class_name} / no argument picks what player is looking at Arguments: {entity_name} / {class_name} / no argument picks what player is looking at
ent_remove,,Removes the given entity(s) Arguments: {entity_name} / {class_name} / no argument picks what player is looking at Arguments: {entity_name} / {class_name} / no argument picks what player is looking at
ent_remove_all,,Removes all entities of the specified type Arguments: {entity_name} / {class_name} Arguments: {entity_name} / {class_name}
ent_rotate,,Rotates an entity by a specified # of degrees
ent_setname,,Sets the targetname of the given entity(s) Arguments: {new entity name} {entity_name} / {class_name} / no argument picks what player is looking at Arguments: {new entity name} {entity_name} / {class_name} / no argument picks what player is looking at
ent_show_response_criteria,,"Print, to the console, an entity's current criteria set used to select responses. Arguments: {entity_name} / {class_name} / no argument picks what player is looking at Arguments: {entity_name} / {class_name} / no argument picks what player is looking at"
ent_step,,When 'ent_pause' is set this will step through one waiting input / output message at a time.
ent_teleport,,Teleport the specified entity to where the player is looking. Format: ent_teleport <entity name> Format: ent_teleport <entity name>
ent_text,,Displays text debugging information about the given entity(ies) on top of the entity (See Overlay Text) Arguments: {entity_name} / {class_name} / no argument picks what player is looking at Arguments: {entity_name} / {class_name} / no argument picks what player is looking at
ent_viewoffset,,Displays the eye position for the given entity(ies) in red. Arguments: {entity_name} / {class_name} / no argument picks what player is looking at Arguments: {entity_name} / {class_name} / no argument picks what player is looking at
envmap,,
escape,,Escape key pressed.
exec,filename.cfg,Executes a file located in the \cfg directory.
exit,,Exit the engine.
explodevector,,Kills a player applying an explosive force. Usage: explodevector <player> <x value> <y value> <z value>
fadein,,fadein {time r g b}: Fades the screen in from black or from the specified color over the given number of seconds.
fadeout,,fadeout {time r g b}: Fades the screen to black or to the specified color over the given number of seconds.
fast_fogvolume,0,
filesystem_buffer_size,0,Size of per file buffers. 0 for none
find,,Find concommands with the specified string in their name/help text.
find_ent,,Find and list all entities with classnames or targetnames that contain the specified substring. Format: find_ent <substring> Format: find_ent <substring>
find_ent_index,,Display data for entity matching specified index. Format: find_ent_index <index> Format: find_ent_index <index>
findflags,,Find concommands by flags.
fire_absorbrate,3,
fire_dmgbase,1,
fire_dmginterval,1,
fire_dmgscale,0,
fire_extabsorb,5,
fire_extscale,12,
fire_growthrate,1,
fire_heatscale,1,
fire_incomingheatscale,0,
fire_maxabsorb,50,
firetarget,,
fish_debug,0,[CHEATS REQUIRED] Show debug info for fish
fish_dormant,0,[CHEATS REQUIRED] Turns off interactive fish behavior. Fish become immobile and unresponsive.
flex_expression,0,
flex_looktime,5,
flex_maxawaytime,1,
flex_maxplayertime,7,
flex_minawaytime,0,
flex_minplayertime,5,
flex_rules,1,Allow flex animation rules to run.
flex_smooth,1,Applies smoothing/decay curve to flex animation controller changes.
flex_talk,0,
flush,,Flush unlocked cache memory.
flush_locked,,Flush unlocked and locked cache memory.
fog_color,-1,[CHEATS REQUIRED] 
fog_colorskybox,-1,[CHEATS REQUIRED] 
fog_enable,1,[CHEATS REQUIRED] 
fog_enable_water_fog,1,[CHEATS REQUIRED] 
fog_enableskybox,1,[CHEATS REQUIRED] 
fog_end,-1,[CHEATS REQUIRED] 
fog_endskybox,-1,[CHEATS REQUIRED] 
fog_maxdensity,-1,[CHEATS REQUIRED] 
fog_maxdensityskybox,-1,[CHEATS REQUIRED] 
fog_override,0,[CHEATS REQUIRED] 
fog_start,-1,[CHEATS REQUIRED] 
fog_startskybox,-1,[CHEATS REQUIRED] 
+forward,,
-forward,,
fov,,Change players FOV
fps_max,500,"Frame rate limiter, cannot be set while connected to a server."
free_pass_peek_debug,0,
fs_convert,1,Allow Xbox 360 files to be generated at runtime
fs_monitor_read_from_pack,0,"0:Off, 1:Any, 2:Sync only"
fs_printopenfiles,,Show all files currently opened by the engine.
fs_report_sync_opens,0,"0:Off, 1:Always, 2:Not during load"
fs_warning_level,,Set the filesystem warning level.
fs_warning_mode,0,"0:Off, 1:Warn main thread, 2:Warn other threads"
func_break_max_pieces,15,
func_break_reduction_factor,0,
func_breakdmg_bullet,0,
func_breakdmg_club,1,
func_breakdmg_explosive,1,
g15_dumpplayer,,Spew player data.
g15_reload,,Reloads the Logitech G; 15 Keyboard configs.
g15_update_msec,250,Logitech G-15 Keyboard update interval.
g_debug_angularsensor,0,[CHEATS REQUIRED] 
g_debug_constraint_sounds,0,[CHEATS REQUIRED] Enable debug printing about constraint sounds.
g_debug_doors,0,
g_debug_npc_vehicle_roles,0,
g_debug_ragdoll_removal,0,[CHEATS REQUIRED] 
g_debug_ragdoll_visualize,0,[CHEATS REQUIRED] 
g_debug_trackpather,0,[CHEATS REQUIRED] 
g_debug_transitions,0,Set to 1 and restart the map to be warned if the map has no trigger_transition volumes. Set to 2 to see a dump of all entities
g_debug_vehiclebase,0,[CHEATS REQUIRED] 
g_debug_vehicledriver,0,[CHEATS REQUIRED] 
g_debug_vehicleexit,0,[CHEATS REQUIRED] 
g_debug_vehiclesound,0,[CHEATS REQUIRED] 
g_jeepexitspeed,100,[CHEATS REQUIRED] 
g_Language,0,
g_ragdoll_fadespeed,600,
g_ragdoll_important_maxcount,2,
g_ragdoll_lvfadespeed,100,
g_ragdoll_maxcount,8,
gag,,
gamemenucommand,,Issue game menu command.
gameui_activate,,Shows the game UI
gameui_allowescape,,Escape key allowed to hide game UI
gameui_allowescapetoshow,,Escape key allowed to show game UI
gameui_hide,,Hides the game UI
gameui_hide_dialog,,asdf
gameui_preventescape,,Escape key doesn't hide game UI
gameui_preventescapetoshow,,Escape key doesn't show game UI
gameui_show_dialog,,Show an arbitrary Dialog.
gameui_xbox,0,
+gesture,,
-gesture,,
getpos,,dump position and angles to the console
give,,Give item to player. Arguments: <item_name> Arguments: <item_name>
givecurrentammo,,Give a supply of ammo for current weapon..
gl_clear,0,
gl_clear_randomcolor,0,[CHEATS REQUIRED] Clear the back buffer to random colors every frame. Helps spot open seams in geometry.
global_set,,"global_set <globalname> <state>: Sets the state of the given env_global (0 = OFF, 1 = ON, 2 = DEAD)."
+graph,,
-graph,,
-grenade1,,
+grenade1,,
-grenade2,,
+grenade2,,
groundlist,,Display ground entity list <index>
hammer_update_entity,,Updates the entity's positiongles when in edit mode
hammer_update_safe_entities,,Updates entities in the map that can safely be updated (don't have parents or are affected by constraints). Also excludes entities mentioned in any hammer_updateignorelist objects in this map.
heartbeat,,Force heartbeat of master servers
help,,Find help about a convar/concommand.
hideconsole,,Hide the console.
hidehud,0,[CHEATS REQUIRED] 
hidepanel,,Hides a viewport panel <name>
hl2_episodic,0,
host_flush_threshold,20,Memory threshold below which the host should flush caches between server instances
host_framerate,0,Set to lock per-frame time elapse.
host_limitlocal,0,Apply cl_cmdrate and cl_updaterate to loopback connection
host_map,0,Current map name.
host_profile,0,
host_runofftime,,Run off some time without rendering/updating sounds
host_showcachemiss,0,Print a debug message when the client or server cache is missed.
host_ShowIPCCallCount,0,"Print # of IPC calls this number of times per second. If set to -1, the # of IPC calls is shown every frame."
host_sleep,0,[CHEATS REQUIRED] Force the host to sleep a certain number of milliseconds each frame.
host_speeds,0,Show general system running times.
host_thread_mode,0,"Run the host in threaded mode, (0 == off, 1 == if multicore, 2 == force)"
host_timescale,1,Prescale the clock by this amount.
host_writeconfig,,Store current settings to config.cfg (or specified .cfg file).
hostip,168099840.000,Host game server ip
hostname,0,Hostname for server.
hostport,27015,Host game server port
hud_autoreloadscript,0,Automatically reloads the animation script each time one is ran
hud_classautokill,1,Automatically kill player after choosing a new playerclass.
hud_jeephint_numentries,10,
hud_names_filter,0,
hud_names_toggle,,
hud_names_type,3,
hud_names_visible,1,
hud_reloadscheme,,Minimum brightness of a light to be classed as shadow casting
hud_takesshots,0,Auto-save a scoreboard screenshot at the end of a map.
hurtme,,Hurts the player. Arguments: <health to lose> Arguments: <health to lose>
in_usekeyboardsampletime,1,Use keyboard sample time smoothing.
incrementvar,,Increment specified convar value.
iosdemomanager,,
iosmatchmakingmenu,,
iosoptionsmenu,,
ip,0,Overrides IP for multihomed hosts
+jlook,,
-jlook,,
+join,,"Custom mouse acceleration (0 disable, 1 to enable, 2 enable with separate yaw/pitch rescale). Formula: mousesensitivity = ( rawmousedelta^m_customaccel_exponent ) * m_customaccel_scale + sensitivity If mode is 2, then x and y sensitivity are scaled by m_pitch and m_yaw respectively. Formula: mousesensitivity = ( rawmousedelta^m_customaccel_exponent ) * m_customaccel_scale + sensitivity If mode is 2, then x and y sensitivity are scaled by m_pitch and m_yaw respectively."
-join,,
joy_accel_filter,0,
joy_accelmax,1,
joy_accelscale,0,
joy_advanced,0,
joy_advaxisr,0,
joy_advaxisu,0,
joy_advaxisv,0,
joy_advaxisx,0,
joy_advaxisy,0,
joy_advaxisz,0,
joy_autoaimdampen,0,How much to scale user stick input when the gun is pointing at a valid target.
joy_autoaimdampenrange,0,The stick range where autoaim dampening is applied. 0 = off
joy_autosprint,0,Automatically sprint when moving with an analog joystick
joy_axisbutton_threshold,0,Analog axis range before a button press is registered.
joy_diagonalpov,0,"POV manipulator operates on diagonal axes, too."
joy_display_input,0,
joy_forwardsensitivity,-1,
joy_forwardthreshold,0,
joy_inverty,0,Whether to invert the Y axis of the joystick for looking.
joy_inverty_default,0,
joy_lowend,1,
joy_lowmap,1,
joy_movement_stick,0,Which stick controls movement (0 is left stick)
joy_movement_stick_default,0,
joy_name,0,
joy_pegged,0,
joy_pitchsensitivity,1,
joy_pitchsensitivity_default,-1,
joy_pitchthreshold,0,
joy_response_look,0,"'Look' stick response mode: 0=Default, 1=Acceleration Promotion"
joy_response_move,1,"'Movement' stick response mode: 0=Linear, 1=quadratic, 2=cubic, 3=quadratic extreme, 4=power function(i.e., pow(x,1/sensitivity"
joy_response_move_vehicle,6,
joy_sidesensitivity,1,
joy_sidethreshold,0,
joy_vehicle_turn_lowend,0,
joy_vehicle_turn_lowmap,0,
joy_virtual_peg,0,
joy_wingmanwarrior_centerhack,0,Wingman warrior centering hack.
joy_wingmanwarrior_turnhack,0,Wingman warrior hack related to turn axes.
joy_xcontroller_cfg_loaded,0,"If 0, the 360controller.cfg file will be executed on startup & option changes."
joy_xcontroller_found,1,Automatically set to 1 if an xcontroller has been detected.
joy_yawsensitivity,-1,
joy_yawsensitivity_default,-1,
joy_yawthreshold,0,
joyadvancedupdate,,Mouse sensitivity.
joystick,0,
jpeg,,Take a jpeg screenshot: jpeg <filename> <quality 1; 100>.
jpeg_quality,90,jpeg screenshot quality.
+jump,,
-jump,,
kdtree_test,,Tests spatial partition for entities queries.
key_findbinding,,number of random directions to fire rays when computing ambient lighting
key_listboundkeys,,List bound keys with bindings.
key_updatelayout,,Updates game keyboard layout to current windows keyboard setting.
kick,,Kick a player by name.
kickid,,"Kick a player by userid or uniqueid, with a message."
killserver,,Shutdown the server.
killvector,,Kills a player applying force. Usage: killvector <player> <x value> <y value> <z value>
+klook,,
-klook,,
+left,,
-left,,
light_crosshair,,Show texture color at crosshair
lightcache_maxmiss,2,[CHEATS REQUIRED] 
lightprobe,,Samples the lighting environment. Creates a cubemap and a file indicating the local lighting in a subdirectory called 'materials/lightprobes' .The lightprobe command requires you specify a base file name. Creates a cubemap and a file indicating the local lighting in a subdirectory called 'materials/lightprobes' .The lightprobe command requires you specify a base file name.
linefile,,Parses map leak data from .lin file
listdemo,,List demo file contents.
listid,,Lists banned users.
listip,,List IP addresses on the ban list.
listmodels,,List loaded models.
listRecentNPCSpeech,,Displays a list of the last 5 lines of speech from NPCs.
load,,Load a saved game.
loadcommentary,,
lod_TransitionDist,800,
log,,"Enables logging to file, console, and udp < on | off >."
logaddress_add,,Set address and port for remote host <ip:port>.
logaddress_del,,Remove address and port for remote host <ip:port>.
logaddress_delall,,Remove all udp addresses being logged to
logaddress_list,,List all addresses currently being used by logaddress.
+lookdown,,
-lookdown,,
lookspring,0,
lookstrafe,0,
+lookup,,
-lookup,,
lservercfgfile,0,
m_customaccel,0,"Custom mouse acceleration (0 disable, 1 to enable, 2 enable with separate yaw/pitch rescale). Formula: mousesensitivity = ( raw"
m_customaccel_exponent,1,Mouse move is raised to this power before being scaled by scale factor.
m_customaccel_max,0,"Max mouse move scale factor, 0 for no limit"
m_customaccel_scale,0,Custom mouse acceleration value.
m_filter,0,Mouse filtering (set this to 1 to average the mouse over 2 frames).
m_forward,1,Mouse forward factor.
m_mouseaccel1,0,Windows mouse acceleration initial threshold (2x movement).
m_mouseaccel2,0,Windows mouse acceleration secondary threshold (4x movement).
m_mousespeed,1,Windows mouse speed factor (range 1 to 20).
m_pitch,0,Mouse pitch factor.
m_side,0,Mouse side factor.
m_yaw,0,Mouse yaw factor.
map,,Start playing on specified map.
map_background,,Runs a map as the background to the main menu.
map_commentary,,"Start playing, with commentary, on a specified map."
map_edit,,
map_noareas,0,Disable area to area connection testing.
mapcyclefile,0,Name of the .txt file used to cycle the maps on multiplayer servers
maps,,Displays list of maps.
mat_aaquality,0,
mat_accelerate_adjust_exposure_down,3,[CHEATS REQUIRED] 
mat_alphacoverage,1,
mat_antialias,8,
mat_autoexposure_max,2,
mat_autoexposure_min,0,
mat_bloom_scalefactor_scalar,1,
mat_bloomamount_rate,0,[CHEATS REQUIRED] 
mat_bloomscale,1,
mat_bufferprimitives,1,
mat_bumpbasis,0,[CHEATS REQUIRED] 
mat_bumpmap,1,
mat_camerarendertargetoverlaysize,128,[CHEATS REQUIRED] 
mat_clipz,1,
mat_colcorrection_disableentities,0,Disable map color-correction entities
mat_colorcorrection,0,
mat_compressedtextures,1,
mat_configcurrent,,show the current video control panel config for the material system
mat_crosshair,,Display the name of the material under the crosshair
mat_crosshair_edit,,open the material under the crosshair in the editor defined by mat_crosshair_edit_editor
mat_crosshair_explorer,,open the material under the crosshair in explorer and highlight the vmt file
mat_crosshair_printmaterial,,print the material under the crosshair
mat_crosshair_reloadmaterial,,reload the material under the crosshair
mat_debug,,Activates debugging spew for a specific material.
mat_debug_autoexposure,0,[CHEATS REQUIRED] 
mat_debug_bloom,0,[CHEATS REQUIRED] 
mat_debug_postprocessing_effects,0,"0 = off, 1 = show post-processing passes in quadrants of the screen, 2 = only apply post-processing to the centre of the screen"
mat_debug_process_halfscreen,0,[CHEATS REQUIRED] 
mat_debugalttab,0,[CHEATS REQUIRED] 
mat_debugdepth,0,
mat_debugdepthmode,0,
mat_debugdepthval,128,
mat_debugdepthvalmax,256,
mat_depthbias_decal,-262144,[CHEATS REQUIRED] 
mat_depthbias_normal,0,[CHEATS REQUIRED] 
mat_depthbias_shadowmap,0,[CHEATS REQUIRED] 
mat_diffuse,1,
mat_disable_bloom,0,
mat_disable_fancy_blending,0,
mat_disable_lightwarp,0,
mat_disable_ps_patch,0,
mat_disablehwmorph,0,Disables HW morphing for particular mods
mat_drawflat,0,[CHEATS REQUIRED] 
mat_drawTexture,0,Enable debug view texture
mat_drawTextureScale,1,Debug view texture scale
mat_drawTitleSafe,0,Enable title safe overlay
mat_drawwater,1,[CHEATS REQUIRED] 
mat_dxlevel,95,
mat_dynamic_tonemapping,1,[CHEATS REQUIRED] 
mat_edit,,Bring up the material under the crosshair in the editor
mat_envmapsize,128,
mat_envmaptgasize,32,
mat_excludetextures,0,
mat_exposure_center_region_x,0,[CHEATS REQUIRED] 
mat_exposure_center_region_x_flashlight,0,[CHEATS REQUIRED] 
mat_exposure_center_region_y,0,[CHEATS REQUIRED] 
mat_exposure_center_region_y_flashlight,0,[CHEATS REQUIRED] 
mat_fastnobump,0,[CHEATS REQUIRED] 
mat_fastspecular,1,Enable/Disable specularity for visual testing.  Will not reload materials and will not affect perf.
mat_fillrate,0,[CHEATS REQUIRED] 
mat_filterlightmaps,1,
mat_filtertextures,1,
mat_force_bloom,0,[CHEATS REQUIRED] 
mat_force_ps_patch,0,
mat_force_tonemap_scale,0,[CHEATS REQUIRED] 
mat_forceaniso,16,
mat_forcedynamic,0,[CHEATS REQUIRED] 
mat_forcehardwaresync,1,
mat_forcemanagedtextureintohardware,0,
mat_frame_sync_enable,1,[CHEATS REQUIRED] 
mat_frame_sync_force_texture,0,[CHEATS REQUIRED] Force frame syncing to lock a managed texture.
mat_framebuffercopyoverlaysize,128,
mat_fullbright,0,[CHEATS REQUIRED] 
mat_hdr_enabled,,Report if HDR is enabled for debugging
mat_hdr_level,2,"Set to 0 for no HDR, 1 for LDR+bloom on HDR maps, and 2 for full HDR on HDR maps."
mat_hdr_manual_tonemap_rate,1,
mat_hdr_tonemapscale,1,"[CHEATS REQUIRED] The HDR tonemap scale. 1 = Use autoexposure, 0 = eyes fully closed, 16 = eyes wide open."
mat_hdr_uncapexposure,0,[CHEATS REQUIRED] 
mat_hsv,0,[CHEATS REQUIRED] 
mat_info,,Shows material system info
mat_leafvis,0,[CHEATS REQUIRED] Draw wireframe of current leaf
mat_levelflush,1,
mat_lightmap_pfms,0,Outputs .pfm files containing lightmap data for each lightmap page when a level exits.
mat_loadtextures,1,[CHEATS REQUIRED] 
mat_luxels,0,[CHEATS REQUIRED] 
mat_max_worldmesh_vertices,65536,
mat_maxframelatency,1,
mat_measurefillrate,0,[CHEATS REQUIRED] 
mat_mipmaptextures,1,
mat_monitorgamma,2,monitor gamma (typically 2.2 for CRT and 1.7 for LCD)
mat_monitorgamma_tv_enabled,0,
mat_monitorgamma_tv_exp,2,
mat_monitorgamma_tv_range_max,255,
mat_monitorgamma_tv_range_min,16,
mat_morphstats,0,[CHEATS REQUIRED] 
mat_motion_blur_enabled,0,
mat_motion_blur_falling_intensity,1,
mat_motion_blur_falling_max,20,
mat_motion_blur_falling_min,10,
mat_motion_blur_forward_enabled,0,
mat_motion_blur_percent_of_screen_max,4,
mat_motion_blur_rotation_intensity,1,
mat_motion_blur_strength,1,
mat_non_hdr_bloom_scalefactor,0,
mat_norendering,0,[CHEATS REQUIRED] 
mat_normalmaps,0,[CHEATS REQUIRED] 
mat_normals,0,[CHEATS REQUIRED] 
mat_parallaxmap,0,
mat_picmip,-1,
mat_postprocess_x,4,
mat_postprocess_y,1,
mat_postprocessing_combine,1,"Combine bloom, software anti-aliasing and color correction into one post-processing pass"
mat_proxy,0,[CHEATS REQUIRED] 
mat_queue_mode,-1,"The queue/thread mode the material system should use: -1=default, 0=synchronous single thread, 1=queued single thread, 2=queued"
mat_reducefillrate,0,
mat_reloadallmaterials,,Reloads all materials
mat_reloadmaterial,,Reloads a single material
mat_reloadtextures,,Reloads all textures
mat_report_queue_status,0,
mat_reporthwmorphmemory,,Reports the amount of size in bytes taken up by hardware morph textures.
mat_reversedepth,0,[CHEATS REQUIRED] 
mat_savechanges,,saves current video configuration to the registry
mat_setvideomode,,"sets the width, height, windowed state of the material system"
mat_shadowstate,1,
mat_show_ab_hdr,0,
mat_show_histogram,0,
mat_show_texture_memory_usage,0,[CHEATS REQUIRED] Display the texture memory usage on the HUD.
mat_showcamerarendertarget,0,[CHEATS REQUIRED] 
mat_showenvmapmask,0,
mat_showframebuffertexture,0,[CHEATS REQUIRED] 
mat_showlightmappage,-1,
mat_showlowresimage,0,
mat_showmaterials,,Show materials.
mat_showmaterialsverbose,,Show materials (verbose version).
mat_showmiplevels,0,"[CHEATS REQUIRED] color-code miplevels 2: normalmaps, 1: everything else"
mat_showtextures,,Show used textures.
mat_showwatertextures,0,[CHEATS REQUIRED] 
mat_slopescaledepthbias_decal,0,[CHEATS REQUIRED] 
mat_slopescaledepthbias_normal,0,[CHEATS REQUIRED] 
mat_slopescaledepthbias_shadowmap,16,[CHEATS REQUIRED] 
mat_software_aa_blur_one_pixel_lines,0,"How much software AA should blur one-pixel thick lines: (0.0 - none), (1.0 - lots)"
mat_software_aa_debug,0,"Software AA debug mode: (0 - off), (1 - show number of 'unlike' samples: 0->black, 1->red, 2->green, 3->blue), (2 - show anti-a"
mat_software_aa_edge_threshold,1,Software AA - adjusts the sensitivity of the software AA shader's edge detection (default 1.0 - a lower value will soften more
mat_software_aa_quality,0,"Software AA quality mode: (0 - 5-tap filter), (1 - 9-tap filter)"
mat_software_aa_strength,0,Software AA - perform a software anti-aliasing post-process (an alternative/supplement to MSAA). This value sets the strength o
mat_software_aa_strength_vgui,1,"Same as mat_software_aa_strength, but forced to this value when called by the post vgui AA pass."
mat_software_aa_tap_offset,1,Software AA - adjusts the displacement of the taps used by the software AA shader (default 1.0 - a lower value will make the im
mat_softwarelighting,0,
mat_softwareskin,0,[CHEATS REQUIRED] 
mat_specular,1,Enable/Disable specularity for perf testing.  Will cause a material reload upon change.
mat_spewvertexandpixelshaders,,Print all vertex and pixel shaders currently loaded to the console
mat_stub,0,[CHEATS REQUIRED] 
mat_supportflashlight,1,"0 - do not support flashlight (don't load flashlight shader combos), 1 - flashlight is supported"
mat_suppress,,Supress a material from drawing
mat_surfaceid,0,[CHEATS REQUIRED] 
mat_surfacemat,0,[CHEATS REQUIRED] 
mat_texture_limit,-1,"If this value is not -1, the material system will limit the amount of texture memory it uses in a frame. Useful for identifying"
mat_texture_list,0,"For debugging, show a list of used textures per frame"
+mat_texture_list,,
-mat_texture_list,,
mat_texture_list_all,0,"If this is nonzero, then the texture list panel will show all currently-loaded textures."
mat_texture_list_txlod,,"Adjust LOD of the last viewed texture +1 to inc resolution, -1 to dec resolution"
mat_texture_list_txlod_sync,,"'reset' - resets all run; time changes to LOD overrides, 'save' - saves all changes to material content files"
mat_texture_list_view,1,"If this is nonzero, then the texture list panel will render thumbnails of currently-loaded textures."
mat_tonemap_algorithm,1,[CHEATS REQUIRED] 0 = Original Algorithm 1 = New Algorithm
mat_tonemap_min_avglum,3,[CHEATS REQUIRED] 
mat_tonemap_percent_bright_pixels,2,[CHEATS REQUIRED] 
mat_tonemap_percent_target,60,[CHEATS REQUIRED] 
mat_tonemapping_occlusion_use_stencil,0,
mat_trilinear,0,
mat_use_compressed_hdr_textures,1,
mat_viewportscale,1,[CHEATS REQUIRED] Scale down the main viewport (to reduce GPU impact on CPU profiling)
mat_vsync,0,Force sync to vertical retrace
mat_wateroverlaysize,128,
mat_wireframe,0,[CHEATS REQUIRED] 
mat_yuv,0,[CHEATS REQUIRED] 
matchmakingport,27025,Host Matchmaking port
maxplayers,,Change the maximum number of players allowed on this server.
mem_compact,,
mem_dump,,Dump memory stats to text file.
mem_dumpstats,0,Dump current and max heap usage info to console at end of frame ( set to 2 for continuous output )
mem_dumpvballocs,,Dump VB memory allocation stats.
mem_eat,,
mem_force_flush,0,Force cache flush of unlocked resources on every alloc
mem_max_heapsize,256,Maximum amount of memory to dedicate to engine hunk and datacache (in mb)
mem_max_heapsize_dedicated,64,"Maximum amount of memory to dedicate to engine hunk and datacache, for dedicated server (in mb)"
mem_min_heapsize,48,Minimum amount of memory to dedicate to engine hunk and datacache (in mb)
mem_periodicdumps,0,Write periodic memstats dumps every n seconds.
mem_test,,
mem_test_each_frame,0,Run heap check at end of every frame
mem_test_every_n_seconds,0,Run heap check at a specified interval
mem_vcollide,,Dumps the memory used by vcollides
memory,,Print memory stats.
minisave,,Saves game (for current level only!)
mm_add_item,,Add a stats item
mm_add_player,,Add a player
mm_max_spectators,4,Max players allowed on the spectator team
mm_message,,Send a message to all remote clients
mm_minplayers,2,Number of players required to start an unranked game
mm_select_session,,Select a session
mm_session_info,,Dump session information
mm_stats,,
mod_forcedata,1,Forces all model file data into cache on model load.
mod_forcetouchdata,1,Forces all model file data into cache on model load.
mod_load_anims_async,0,
mod_load_fakestall,0,Forces all ANI file loading to stall for specified ms
mod_load_mesh_async,0,
mod_load_showstall,0,"1 - show hitches , 2 - show stalls"
mod_load_vcollide_async,0,
mod_lock_mdls_on_load,0,
mod_test_mesh_not_available,0,
mod_test_not_available,0,
mod_test_verts_not_available,0,
mod_touchalldata,1,Touch model data during level startup
mod_trace_load,0,
motdfile,0,The MOTD file to load.
+movedown,,
-movedown,,
+moveleft,,
-moveleft,,
+moveright,,
-moveright,,
+moveup,,
-moveup,,
movie_fixwave,,"Fixup corrupted .wav file if engine crashed during startmovie/endmovie, etc."
mp_allowspectators,1,toggles whether the server allows spectator mode or not
mp_autobalance,1,autobalance teams after a goal. blocks joining unbalanced teams
mp_autocrosshair,1,
mp_ball_player_collision,0,
mp_ballskin,,
mp_botkeeperdelay,0,Defines botkeepers' response time in ms. Default is 0.
mp_botkeepers,0,	Enables/Disables bot GKs. 1 enables it and 0 disables it.
mp_botkeeperspeed,100,Bot keeper speed <0-100>
mp_captaincy_away,0,
mp_captaincy_home,0,
